ident,locale
KLAX,"Los Angeles, California"
KORD,"Chicago, Illinois"
KJFK,"New York, New York"
KATL,"Atlanta, Georgia"
KSFO,"San Francisco, California"
KDFW,"Dallas-Fort Worth, Texas"
KEWR,"New York, New Jersey"
KLAS,"Las Vegas, Nevada"
KMCO,"Orlando, Florida"
KDEN,"Denver, Colorado"
KLGA,"New York, New York"
KIAD,"Washington, District of Columbia"
KMIA,"Miami, Florida"
KPHX,"Phoenix, Arizona"
KBOS,"Boston, Massachusetts"
KPHL,"Philadelphia, Pennsylvania"
KCLT,"Charlotte, North Carolina"
KIAH,"Houston, Texas"
KDTW,"Detroit, Michigan"
KDCA,"Washington, District of Columbia"
KMSP,"Minneapolis, Minnesota"
KSLC,"Salt Lake City, Utah"
KMDW,"Chicago, Illinois"
KFLL,"Fort Lauderdale, Florida"
KSAN,"San Diego, California"
KBWI,"Baltimore, Maryland"
KSTL,"St Louis, Missouri"
PHNL,"Honolulu, Hawaii"
KPDX,"Portland, Oregon"
KMSY,"New Orleans, Louisiana"
KCVG,"Cincinnati / Covington, Kentucky"
KTPA,"Tampa, Florida"
KBNA,"Nashville, Tennessee"
KPIT,"Pittsburgh, Pennsylvania"
KAUS,"Austin, Texas"
KSJC,"San Jose, California"
KOAK,"Oakland, California"
KRDU,"Raleigh/Durham, North Carolina"
KSAT,"San Antonio, Texas"
KMEM,"Memphis, Tennessee"
KMCI,"Kansas City, Missouri"
KHOU,"Houston, Texas"
KSNA,"Santa Ana, California"
KCLE,"Cleveland, Ohio"
KDAL,"Dallas, Texas"
KIND,"Indianapolis, Indiana"
KABQ,"Albuquerque, New Mexico"
KMKE,"Milwaukee, Wisconsin"
KCMH,"Columbus, Ohio"
KTUS,"Tucson, Arizona"
KBDL,"Hartford, Connecticut"
KJAX,"Jacksonville, Florida"
KBUF,"Buffalo, New York"
PANC,"Anchorage, Alaska"
KOKC,"Oklahoma City, Oklahoma"
KELP,"El Paso, Texas"
PHOG,"Kahului, Hawaii"
KPBI,"West Palm Beach, Florida"
KOMA,"Omaha, Nebraska"
KBUR,"Burbank, California"
KPVD,"Providence, Rhode Island"
KRNO,"Reno, Nevada"
KORF,"Norfolk, Virginia"
KSDF,"Louisville, Kentucky"
KCHS,"Charleston, South Carolina"
KSAV,"Savannah, Georgia"
KBHM,"Birmingham, Alabama"
KBOI,"Boise, Idaho"
KRIC,"Richmond, Virginia"
KONT,"Ontario, California"
KSYR,"Syracuse, New York"
KALB,"Albany, New York"
KHPN,"White Plains, New York"
KOSH,"Oshkosh, Wisconsin"
PHKO,"Kailua-Kona, Hawaii"
KRSW,"Fort Myers, Florida"
KGEG,"Spokane, Washington"
KTUL,"Tulsa, Oklahoma"
KGRR,"Grand Rapids, Michigan"
KDAY,"Dayton, Ohio"
KDSM,"Des Moines, Iowa"
KICT,"Wichita, Kansas"
KLIT,"Little Rock, Arkansas"
KMSN,"Madison, Wisconsin"
KCOS,"Colorado Springs, Colorado"
KROC,"Rochester, New York"
KPWM,"Portland, Maine"
KMHT,"Manchester, New Hampshire"
KPSP,"Palm Springs, California"
KSBA,"Santa Barbara, California"
KPNS,"Pensacola, Florida"
KTYS,"Knoxville, Tennessee"
KTLH,"Tallahassee, Florida"
KBTV,"South Burlington, Vermont"
KEYW,"Key West, Florida"
KBFI,"Seattle, Washington"
KLEX,"Lexington, Kentucky"
KGSO,"Greensboro, North Carolina"
KMRY,"Monterey, California"
KGSP,"Greer, South Carolina"
KLBB,"Lubbock, Texas"
KTEB,"Teterboro, New Jersey"
KDAB,"Daytona Beach, Florida"
KVGT,"Las Vegas, Nevada"
KRAP,"Rapid City, South Dakota"
KCAK,"Akron, Ohio"
PHLI,"Lihue, Hawaii"
KSRQ,"Sarasota/Bradenton, Florida"
KCHA,"Chattanooga, Tennessee"
KBGR,"Bangor, Maine"
KFAT,"Fresno, California"
KMDT,"Harrisburg, Pennsylvania"
KPIE,"St Petersburg-Clearwater, Florida"
KCAE,"Columbia, South Carolina"
KAVL,"Asheville, North Carolina"
KPDK,"Atlanta, Georgia"
