airport1,x1,y1,airport2,x2,y2,city1,city2,city to city
KMCI,-94.72505188,39.3077507,US-6340,-95.64760208,32.63339996,"Kansas City, Missouri","Grand Saline, Texas","Kansas City, Missouri to Grand Saline, Texas"
K1M5,-86.4769516,36.59285164,KGZH,-87.0469017,31.4147501,"Portland, Tennessee","Evergreen, Alabama","Portland, Tennessee to Evergreen, Alabama"
MM28,-98.9435997,19.87400055,KEOS,-94.39170074,36.81080055,"Tizayuca, Mexico","Neosho, Missouri","Tizayuca, Mexico to Neosho, Missouri"
KVWU,-94.51634979,48.15094948,KCAO,-103.1525002,36.44625092,"Waskish, Minnesota","Clayton, New Mexico","Waskish, Minnesota to Clayton, New Mexico"
KMSN,-89.33524704,43.14185143,KCWI,-90.32830048,41.83250046,"Madison, Wisconsin","Clinton, Iowa","Madison, Wisconsin to Clinton, Iowa"
KSEP,-98.18054962,32.21545029,KAIZ,-92.54949951,38.09600067,"Stephenville, Texas","Kaiser Lake Ozark, Missouri","Stephenville, Texas to Kaiser Lake Ozark, Missouri"
KSNY,-102.9844971,41.09770012,AZ82,-110.5299988,34.39724922,"Sidney, Nebraska","Overgaard, Arizona","Sidney, Nebraska to Overgaard, Arizona"
U93,-114.3969994,43.27935028,U61,-114.1105003,43.94370079,"Hailey, Idaho","Ketchum, Idaho","Hailey, Idaho to Ketchum, Idaho"
92C,-88.21689987,44.64105034,KERV,-99.08715057,29.98204994,"Pulaski, Wisconsin","Kerrville, Texas","Pulaski, Wisconsin to Kerrville, Texas"
CBS2,-103.0188828,49.29559898,KNID,-117.6969986,35.68579865,"Homathko River, Canada","China Lake, California","Homathko River, Canada to China Lake, California"
EGXU,-1.253089964,54.04940033,SA32,-61.95639992,-33.68179893,"Linton-On-Ouse, UK","Venado Tuerto, Argentina","Linton-On-Ouse, UK to Venado Tuerto, Argentina"
KSAT,-98.46220016,29.53104973,KM19,-91.17734909,35.63490105,"San Antonio, Texas","Newport, Arkansas","San Antonio, Texas to Newport, Arkansas"
KEAU,-91.48164749,44.86714935,KSWT,-97.10939789,40.86619949,"Eau Claire, Wisconsin","Seward, Nebraska","Eau Claire, Wisconsin to Seward, Nebraska"
KTZR,-83.13689804,39.90119934,KM88,-86.70125198,36.18959999,"Columbus, Ohio","Nashville, Tennessee","Columbus, Ohio to Nashville, Tennessee"
KTVI,-83.88195038,30.90100002,KRCZ,-79.76454926,34.89105034,"Thomasville, Georgia","Rockingham, North Carolina","Thomasville, Georgia to Rockingham, North Carolina"
KDYR,-89.40764999,35.99634933,KTDZ,-83.48194885,41.56389999,"Dyersburg, Tennessee","Toledo, Ohio","Dyersburg, Tennessee to Toledo, Ohio"
KMAO,-79.33469772,34.18120003,KLGA,-73.87739944,40.77729988,"Marion, South Carolina","New York, New York","Marion, South Carolina to New York, New York"
KOLE,-78.37159729,42.24029922,K3R2,-92.48485184,30.16104984,"Olean, New York","Crowley, Louisiana","Olean, New York to Crowley, Louisiana"
KC91,-86.12290192,41.99134827,K2H0,-88.84490204,39.40864944,"Dowagiac, Michigan","Shelbyville, Illinois","Dowagiac, Michigan to Shelbyville, Illinois"
KERY,-85.45360184,46.30749893,KPTS,-94.73189926,37.44729996,"Newberry, Michigan","Pittsburg, Kansas","Newberry, Michigan to Pittsburg, Kansas"
KM19,-91.17734909,35.63490105,61Y,-87.77640152,38.20530128,"Newport, Arkansas","Poseyville, Indiana","Newport, Arkansas to Poseyville, Indiana"
KPRO,-94.15855026,41.82760048,KCVS,-103.3199997,34.38644981,"Perry, Iowa","Clovis, New Mexico","Perry, Iowa to Clovis, New Mexico"
K5W4,-79.19099808,35.01984978,KMUL,-83.7133522,31.13844967,"Raeford, North Carolina","Moultrie, Georgia","Raeford, North Carolina to Moultrie, Georgia"
US-1114,-94.61617661,41.60520172,KCCY,-92.60884857,43.07175064,"Adair, Iowa","Charles City, Iowa","Adair, Iowa to Charles City, Iowa"
